name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;505;0;624;3161;1040;3161;968;0
header;152;194;152;228;1801;228;1801;194
A;921;123;921;124;927;124;927;123
A;959;254;959;283;984;283;984;254
A;756;1047;756;1061;763;1061;763;1047
A;745;1048;745;1050;746;1050;746;1048
A;937;1319;937;1327;945;1327;945;1319
D;707;1501;707;1517;715;1517;715;1501
C;961;1594;961;1622;981;1622;981;1594
B;761;1676;761;1691;784;1691;784;1676
B;601;1861;601;1875;621;1875;621;1861
A;653;1870;653;1885;661;1885;661;1870
A;588;1914;588;1930;596;1930;596;1914
D;734;2010;734;2025;742;2025;742;2010
A;1017;2174;1017;2174;1017;2174;1017;2174
D;970;2275;970;2300;987;2300;987;2275
D;792;2320;792;2355;816;2355;816;2320
B;1009;2669;1009;2695;1016;2695;1016;2669
B;651;2739;651;2754;673;2754;673;2739
D;941;2843;941;2859;962;2859;962;2843
