name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;284;0;355;3151;1077;3151;1077;0
header;236;157;236;190;1862;190;1862;157
A;1032;216;1032;245;1059;245;1059;216
A;532;462;532;474;539;474;539;462
A;353;686;353;698;360;698;360;686
B;1038;901;1038;929;1061;929;1061;901
B;1012;1049;1012;1066;1021;1066;1021;1049
A;614;1290;614;1302;621;1302;621;1290
B;508;1325;508;1341;517;1341;517;1325
B;857;1508;857;1524;866;1524;866;1508
D;1044;1566;1044;1596;1065;1596;1065;1566
B;441;1601;441;1617;450;1617;450;1601
B;943;1782;943;1800;954;1800;954;1782
A;794;2147;794;2163;802;2163;802;2147
D;1038;2251;1038;2278;1062;2278;1062;2251
B;577;2412;577;2428;597;2428;597;2412
A;833;2434;833;2439;838;2439;838;2434
B;343;2550;343;2566;365;2566;365;2550
A;731;2560;731;2566;738;2566;738;2560
B;352;2690;352;2706;376;2706;376;2690
A;830;2692;830;2717;837;2717;837;2692
A;846;2711;846;2716;852;2716;852;2711
A;928;2832;928;2857;942;2857;942;2832
A;1023;2832;1023;2847;1032;2847;1032;2832
